1 7/16	UN 8	8	3,1750	1.4375	36,5125	1.3563	1.3022	1 7/16 - 8 UN 8
1 7/16	UN 12	12	2,1167	1.4375	36,5125	1.3834	1.3473	1 7/16 - 12 UN 12
1 7/16	UN 16	16	1,5875	1.4375	36,5125	1.3969	1.3698	1 7/16 - 16 UN 16
1 7/16	UNEF	18	1,4111	1.4375	36,5125	1.4014	1.3774	1 7/16 - 18 UNEF
1 7/16	UN 20	20	1,2700	1.4375	36,5125	1.4050	1.3834	1 7/16 - 20 UN 20
1 7/16	UN 28	28	0,9071	1.4375	36,5125	1.4143	1.3988	1 7/16 - 28 UN 28
1 1/2	UN 6	6	4,2333	1.5000	38,1000	1.3917	1.3196	1 1/2 - 6 UN 6
1 1/2	UN 8	8	3,1750	1.5000	38,1000	1.4188	1.3647	1 1/2 - 8 UN 8
1 1/2	UNF	12	2,1167	1.5000	38,1000	1.4459	1.4098	1 1/2 - 12 UNF
1 1/2	UN 16	16	1,5875	1.5000	38,1000	1.4594	1.4323	1 1/2 - 16 UN 16
1 1/2	UNEF	18	1,4111	1.5000	38,1000	1.4639	1.4399	1 1/2 - 18 UNEF
1 1/2	UN 20	20	1,2700	1.5000	38,1000	1.4675	1.4459	1 1/2 - 20 UN 20
1 1/2	UN 28	28	0,9071	1.5000	38,1000	1.4768	1.4613	1 1/2 - 28 UN 28
1 9/16	UN 6	6	4,2333	1.5625	39,6875	1.4542	1.3821	1 9/16 - 6 UN 6
1 9/16	UN 8	8	3,1750	1.5625	39,6875	1.4813	1.4272	1 9/16 - 8 UN 8
1 9/16	UN 12	12	2,1167	1.5625	39,6875	1.5084	1.4723	1 9/16 - 12 UN 12
1 9/16	UN 16	16	1,5875	1.5625	39,6875	1.5219	1.4948	1 9/16 - 16 UN 16
1 9/16	UNEF	18	1,4111	1.5625	39,6875	1.5264	1.5024	1 9/16 - 18 UNEF
1 9/16	UN 20	20	1,2700	1.5625	39,6875	1.5300	1.5084	1 9/16 - 20 UN 20
1 5/8	UN 6	6	4,2333	1.6250	41,2750	1.5167	1.4446	1 5/8 - 6 UN 6
1 5/8	UN 8	8	3,1750	1.6250	41,2750	1.5438	1.4897	1 5/8 - 8 UN 8
1 5/8	UN 12	12	2,1167	1.6250	41,2750	1.5709	1.5348	1 5/8 - 12 UN 12
1 5/8	UN 16	16	1,5875	1.6250	41,2750	1.5844	1.5573	1 5/8 - 16 UN 16
1 5/8	UNEF	18	1,4111	1.6250	41,2750	1.5889	1.5649	1 5/8 - 18 UNEF
1 5/8	UN 20	20	1,2700	1.6250	41,2750	1.5925	1.5709	1 5/8 - 20 UN 20
1 11/16	UN 6	6	4,2333	1.6875	42,8625	1.5792	1.5071	1 11/16 - 6 UN 6
1 11/16	UN 8	8	3,1750	1.6875	42,8625	1.6063	1.5522	1 11/16 - 8 UN 8
